repo,stars,forks,contributors,commits,open_issues,closed_issues,pr_merge_rate
codecrafters-io/build-your-own-x,482827,45441,129,611,27,3,0.0
sindresorhus/awesome,448337,33722,435,1196,18,12,0.03333333333333333
freeCodeCamp/freeCodeCamp,438780,43752,384,41241,7,23,0.5333333333333333
public-apis/public-apis,415252,44979,425,4539,30,0,0.0
EbookFoundation/free-programming-books,384515,66052,431,10055,14,16,0.23333333333333334
kamranahmedse/developer-roadmap,351568,43844,470,7465,8,22,0.3
donnemartin/system-design-primer,340013,55003,122,343,12,18,0.16666666666666666
jwasham/coding-interview-university,338164,81617,307,2511,27,3,0.0
openclaw/openclaw,332658,64825,357,21717,29,1,0.0
vinta/awesome-python,288707,27469,406,2186,2,28,0.3333333333333333
awesome-selfhosted/awesome-selfhosted,281749,12965,400,6960,0,30,0.3333333333333333
996icu/996.ICU,275804,20931,397,3226,8,22,0.2
practical-tutorials/project-based-learning,261546,34033,100,570,27,3,0.0
facebook/react,244171,50849,411,21433,20,10,0.13333333333333333
TheAlgorithms/Python,219007,50239,453,3649,10,20,0.0
trimstray/the-book-of-secret-knowledge,211383,12653,98,1069,26,4,0.0
vuejs/vue,209984,33850,354,3593,20,10,0.0
ossu/computer-science,202720,25171,152,1096,8,22,0.26666666666666666
trekhleb/javascript-algorithms,195807,31097,207,1134,21,9,0.03333333333333333
tensorflow/tensorflow,194349,75250,409,191594,23,7,0.23333333333333334
ohmyzsh/ohmyzsh,185612,26313,396,7731,18,12,0.43333333333333335
getify/You-Dont-Know-JS,184527,33606,178,1908,0,30,0.4
CyC2018/CS-Notes,183999,51118,215,3781,20,10,0.0
microsoft/vscode,183007,38715,324,149171,14,16,0.5666666666666667
Significant-Gravitas/AutoGPT,182766,46213,429,8117,18,12,0.3
n8n-io/n8n,180740,56091,427,18557,23,7,0.13333333333333333
jackfrued/Python-100-Days,180041,55514,12,470,12,18,0.0
flutter/flutter,175670,30157,378,88776,24,6,0.36666666666666664
twbs/bootstrap,174106,79049,357,23184,12,18,0.5666666666666667
github/gitignore,173182,82742,414,4082,21,9,0.0
massgravel/Microsoft-Activation-Scripts,169757,16337,7,509,1,29,0.1
avelino/awesome-go,168087,13083,432,5282,7,23,0.7333333333333333
ollama/ollama,165992,15124,456,5214,22,8,0.1
AUTOMATIC1111/stable-diffusion-webui,161983,30195,428,7689,12,18,0.06666666666666667
jlevy/the-art-of-command-line,160489,14797,149,1218,25,5,0.0
huggingface/transformers,158313,32583,438,22412,22,8,0.26666666666666666
Snailclimb/JavaGuide,154417,46132,414,6043,2,28,0.8
f/prompts.chat,154050,20248,244,5760,18,12,0.13333333333333333
DigitalPlatDev/FreeDomain,153917,2636,2,70,13,17,0.03333333333333333
yt-dlp/yt-dlp,152920,12392,380,23795,16,14,0.2
airbnb/javascript,148121,26758,401,1987,10,20,0.06666666666666667
521xueweihan/HelloGitHub,147188,11245,10,222,28,2,0.1
langflow-ai/langflow,146122,8645,318,17317,24,6,0.26666666666666666
ytdl-org/youtube-dl,139939,10602,387,18977,11,19,0.13333333333333333
vercel/next.js,138466,30684,429,33372,25,5,0.06666666666666667
yangshun/tech-interview-handbook,138336,16479,174,1334,4,26,0.6666666666666666
Genymobile/scrcpy,137438,12807,148,2891,23,7,0.3333333333333333
langgenius/dify,134164,20891,462,9598,24,6,0.3333333333333333
golang/go,133167,18873,381,65719,18,12,0.0
labuladong/fucking-algorithm,133117,23689,72,367,0,30,0.3
x1xhlol/system-prompts-and-models-of-ai-tools,132925,33590,28,486,18,12,0.13333333333333333
microsoft/PowerToys,130858,7808,411,8967,24,6,0.03333333333333333
langchain-ai/langchain,130815,21542,470,15563,3,27,0.26666666666666666
anomalyco/opencode,128955,13656,454,10489,20,10,0.13333333333333333
open-webui/open-webui,128424,18149,390,15761,18,12,0.1
Chalarangelo/30-seconds-of-code,127195,12461,381,10191,4,26,0.3333333333333333
facebook/react-native,125631,25121,303,40219,21,9,0.0
krahets/hello-algo,123753,14934,203,2140,14,16,0.5
kubernetes/kubernetes,121336,42718,348,136937,24,6,0.06666666666666667
electron/electron,120604,17070,370,30169,18,12,0.3
ripienaar/free-for-dev,120310,12479,440,6866,1,29,0.1
excalidraw/excalidraw,119452,12975,338,3970,24,6,0.03333333333333333
justjavac/free-programming-books-zh_CN,116504,28308,118,924,19,11,0.06666666666666667
nodejs/node,116423,35145,427,46303,26,4,0.03333333333333333
iptv-org/iptv,113650,5783,346,33646,16,14,0.7666666666666667
d3/d3,112602,22784,135,4510,7,23,0.13333333333333333
mrdoob/three.js,111514,36306,361,46943,5,25,0.8
rust-lang/rust,111469,14665,446,321751,27,3,0.13333333333333333
shadcn-ui/ui,110558,8280,461,1898,20,10,0.3
rustdesk/rustdesk,109913,16413,378,11036,7,23,0.3333333333333333
Hack-with-Github/Awesome-Hacking,108943,10077,25,124,17,13,0.16666666666666666
axios/axios,108654,11558,440,1866,18,12,0.23333333333333334
microsoft/generative-ai-for-beginners,108422,58123,148,2158,13,17,0.5333333333333333
godotengine/godot,108365,24756,460,82483,25,5,0.16666666666666666
microsoft/TypeScript,108254,13301,345,36740,15,15,0.16666666666666666
obra/superpowers,108229,8684,26,389,16,14,0.1
GrowingGit/GitHub-Chinese-Top-Charts,107057,13534,1,1018,25,5,0.0
Comfy-Org/ComfyUI,106771,12296,282,4964,19,11,0.5333333333333333
denoland/deno,106463,5955,431,15354,22,8,0.36666666666666664
fatedier/frp,105534,14960,124,1433,12,18,0.7
goldbergyoni/nodebestpractices,105175,10698,227,3916,22,8,0.06666666666666667
clash-verge-rev/clash-verge-rev,104903,7626,130,4166,13,17,0.7333333333333333
tauri-apps/tauri,104562,3463,448,5919,15,15,0.5333333333333333
papers-we-love/papers-we-love,104417,6303,258,881,3,27,0.7333333333333333
facebook/create-react-app,103810,27107,449,2819,25,5,0.0
Shubhamsaboo/awesome-llm-apps,103297,15075,74,961,2,28,0.0
deepseek-ai/DeepSeek-V3,102335,16589,23,73,21,9,0.0
microsoft/terminal,102330,9153,436,4882,14,16,0.5333333333333333
affaan-m/everything-claude-code,102314,13333,107,769,22,8,0.0
anthropics/skills,101148,11068,10,24,25,5,0.03333333333333333
jaywcjlove/awesome-mac,100761,7529,453,2487,12,18,0.5666666666666667
angular/angular,100154,27130,380,36868,14,16,0.5
2dust/v2rayN,99585,14379,97,2620,7,23,0.7666666666666667
supabase/supabase,99550,11868,389,35247,25,5,0.13333333333333333
ggml-org/llama.cpp,99124,15737,444,8496,24,6,0.26666666666666666
Anduin2017/HowToCook,98998,10879,409,2531,13,17,0.8666666666666667
google-gemini/gemini-cli,98840,12568,447,5465,28,2,0.06666666666666667
pytorch/pytorch,98536,27283,319,101358,29,1,0.0
mtdvio/every-programmer-should-know,98345,8691,87,326,2,28,0.6333333333333333
